,会社名,銘柄コード(末尾から0を抜く),連結または非連結,時価総額,株価(終値),事業年度末現在発行数（株）,四半期クォーター,四半期末尾,売上高,売上高(YoY同期比),営業利益又は営業損失（△）,営業利益又は営業損失（△）(YoY同期比),経常利益又は経常損失（△）,経常利益又は経常損失（△）(YoY同期比),当期純利益又は当期純損失（△）,当期純利益又は当期純損失（△）(YoY同期比),資産,資産(YoY同期比),負債,負債(YoY同期比),純資産,純資産(YoY同期比),売上原価,売上原価(YoY同期比),売上総利益又は売上総損失（△）,売上総利益又は売上総損失（△）(YoY同期比),販売費及び一般管理費,販売費及び一般管理費(YoY同期比),営業活動によるキャッシュ・フロー,営業活動によるキャッシュ・フロー(YoY同期比),投資活動によるキャッシュ・フロー,投資活動によるキャッシュ・フロー(YoY同期比),財務活動によるキャッシュ・フロー,財務活動によるキャッシュ・フロー(YoY同期比),現金及び現金同等物の残高,現金及び現金同等物の残高(YoY同期比)
S100N6WL,株式会社ヨンドシーホールディングス,80080,連結,38808512820,1595,24331356,Q3,2021-11-30,27323000000,28323000000,695000000,1874000000,1169000000,2210000000,600000000,1188000000,54203000000,53000000000,15630000000,13457000000,38572000000,39543000000,13075000000,13097000000,14248000000,15226000000,13552000000,13351000000,,,,,,,,
S100N6S2,株式会社リヒトラブ,79750,連結,1648382400,864,1907850,Q3,2021-11-30,6621308000,6392795000,325327000,386864000,376837000,376755000,242662000,262603000,13308365000,12866949000,3322790000,3242594000,9985574000,9624354000,4380313000,4142297000,2240994000,2250497000,1915666000,1863633000,,,,,,,,
S100N6WT,北雄ラッキー株式会社,27470,非連結,4135372800,3270,1264640,Q3,2021-11-30,28980113000,29676771000,243106000,348630000,259299000,364575000,165094000,238925000,4902816000,18170581000,13471587000,13105497000,5157810000,5110654000,21586660000,22084050000,7393452000,7592720000,7997664000,8105877000,,,,,,,1625895000,2057253000
S100N6OL,日本プロセス株式会社,96510,連結,8100860220,761,10645020,Q2,2021-11-30,3675234000,3357398000,344723000,316603000,373713000,353826000,225016000,235484000,10787335000,11782198000,1349893000,2106313000,9437441000,9675884000,2874184000,2576206000,801049000,781192000,456325000,464589000,16049000,265185000,75671000,339833000,-253046000,-125094000,3133811000,2473136000
S100N71E,株式会社ヤマザワ,99930,連結,18414186000,1680,10960825,Q3,2021-11-30,81782000000,84256000000,611000000,1768000000,655000000,1705000000,374000000,1140000000,50463000000,50902000000,21657000000,22170000000,28805000000,28732000000,58554000000,60138000000,23227000000,24117000000,22616000000,22349000000,,,,,,,,
S100N6W4,日本オラクル株式会社,47160,非連結,1431287532360,11160,128251571,Q2,2021-11-30,102084000000,100246000000,34079000000,33067000000,34177000000,33022000000,23685000000,22874000000,42219000000,333999000000,96562000000,113999000000,97804000000,195825000000,52385000000,51381000000,49699000000,48864000000,15620000000,15796000000,,,,,,,26176000000,53964000000
S100N67P,株式会社良品計画,74530,連結,515231300000,1835,280780000,Q1,2021-11-30,,,11147000000,13154000000,11745000000,13478000000,7858000000,12268000000,391537000000,393357000000,172985000000,178486000000,218552000000,214871000000,,,,,48587000000,44307000000,,,,,,,,
S100N747,株式会社ベルク,99740,連結,109764628000,5260,20867800,Q3,2021-11-30,220405000000,207690000000,10105000000,9253000000,10700000000,9832000000,7188000000,6971000000,148113000000,136558000000,66457000000,60274000000,81656000000,76283000000,165473000000,155311000000,54931000000,52378000000,46448000000,44496000000,,,,,,,,
S100N69P,クオンタムソリューションズ株式会社(旧会社名　株式会社ビットワングループ),23380,連結,9590909420,820,11696231,Q3,2021-11-30,196498000,178337000,-277233000,-300078000,-234468000,-298288000,-203244000,-311973000,1003424000,1011099000,51172000,337988000,952251000,673111000,62032000,51479000,134465000,126858000,411699000,426936000,,,,,,,,
S100N72F,タマホーム株式会社,14190,連結,67453782000,2290,29455800,Q2,2021-11-30,115104000000,98634000000,6016000000,4237000000,6247000000,4206000000,4117000000,3159000000,111902000000,100216000000,84961000000,74001000000,26940000000,26214000000,88042000000,74890000000,27062000000,23743000000,21046000000,19506000000,4022000000,4903000000,-600000000,-410000000,1101000000,-4121000000,37211000000,31364000000
S100N73Y,株式会社プロパスト,32360,非連結,5764258060,164,35147915,Q2,2021-11-30,10636000000,13214000000,1364000000,1715000000,1135000000,1526000000,763000000,1067000000,24999000000,24089000000,18497000000,17843000000,6921000000,6392000000,8522000000,10645000000,2114000000,2569000000,749000000,853000000,,,,,,,4583000000,4037000000
S100N6X1,株式会社リテールパートナーズ,81670,連結,56535023508,1212,46646059,Q3,2021-11-30,177592275000,180157528000,3665436000,6379386000,4298790000,7088148000,2648494000,4799283000,114807626000,114331344000,41675663000,42793121000,73131963000,71538223000,135194256000,136779132000,42398019000,43378395000,40821080000,39102109000,,,,,,,,
